,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pre-Ratings Calculations,,,,,,,Ratings - Price,,,,,,,,,Ratings - Market,,,,,Ratings - Team,,,,,,,,,,,,,,,,Ratings - Business Model,,,,,,,,,Ratings - Performance,,,,,,,,Ratings - Diffrentiation ,,,,,,,,,Overall Ratings (Avg),,,Overall Ratings (Scaled Sum)
Olivia,1706939,kulaBrands,08/05/2019 7:23 PM,TruCrowd,https://us.trucrowd.com/equity/offer-summary/kulaBrands,https://www.sec.gov/Archives/edgar/data/1706939/000170693919000002/xslC_X01/primary_doc.xml,8/1/2019,"kulaBrands, Inc.",kulaBrands,Financial Services,FinTech,Early,Pre-Seed,RegCF,,Equity - Common,,,"$17,507,365",,,Transactional,B2C,High Growth,Yes,Low,Low,No,"$10,200,000,000",$10B-$25B,"$781,600,000",$500M-$1B,5.4%,0%-10%,12,Low,Low,Obviously worse than others,Low,High,Yes,Yes,Yes,Yes,"$1,258,601","$4,281",$0,100.00%,Pre-Profit,,No,0,1,No,No,No,No,0,19,1,0,,8,1,0,54,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,1.00,0.00,54.00,35 - 54,100.00%,,4.4,,,,4.4,Equity - Common,28.6%,Early,,2.4,1.4,1.9,Yes,,1.8,1.4,1.0,1.4,35 - 54,67%,1,48%,19,2%,No,73%,No,No,No,,Transactional,63%,B2C,40%,Low,44%,Low,32%,,5.0,1.3,1.0,1.0,2.1,Pre-Profit,49%,,1.0,Yes,24%,Low,54%,High,83%,,,2.2,,10.8,2.4
Olivia,1752964,Axleai,,Republic,https://republic.co/axle-ai,https://www.sec.gov/Archives/edgar/data/1752964/000175296420000003/xslC_X01/primary_doc.xml,3/16/2020,"Axle AI, Inc.",Axle.ai,Computer Software,MediaTech,Early,Pre-Seed,RegCF,,SAFE,,,,"$7,000,000",20%,Recurring,B2B,High Growth,Yes,High,Low,Yes,"$390,000,000,000",$250B-$500B,"$5,000,000,000",$5B-$10B,18.2%,10%-20%,15,High,Low,Obviously better than others,Low,High,No,No,Yes,Yes,"$853,807","$20,734","$377,000",5.50%,Pre-Profit,,No,0,1,No,No,No,No,1,11,0,4,,13,3,0,60,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,3.00,0.00,60.00,55+,5.50%,,4.8,3.1,,,3.9,SAFE,36.5%,Early,,3.0,1.7,2.4,No,,2.2,2.3,1.0,1.9,55+,11%,1,48%,11,3%,No,73%,No,No,No,,Recurring,37%,B2B,22%,High,56%,Low,32%,,5.0,1.2,4.8,1.1,3.0,Pre-Profit,49%,,3.0,No,76%,Low,54%,High,83%,,,2.8,,14.2,3.7
Olivia,1806624,"Bruno Albouze, Inc.",,StartEngine,https://www.startengine.com/bruno-albouze-inc,https://www.sec.gov/Archives/edgar/data/1806624/000166516020000225/xslC_X01/primary_doc.xml,3/13/2020,Bruno Albouze Inc.,Bruno Albouze,Food & Beverages,Non-Tech,Early,Pre-Seed,RegCF,,Equity - Common,,,"$6,410,000",,,Transactional,B2C,Life Style,No,Low,High,No,"$203,800,000,000",$100B-$250B,"$3,000,000,000",$1B-$5B,3.0%,0%-10%,100,Low,Low,Similar to others,Low,High,No,No,Yes,No,$0,$0,$0,100.00%,Pre-Revenue,,No,0,1,No,No,No,Yes,0,1,0,0,,35,0,0,49,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,0.00,0.00,49.00,35 - 54,100.00%,,4.8,,,,4.8,Equity - Common,28.6%,Early,,2.7,1.4,2.1,No,,4.3,1.0,1.0,2.1,35 - 54,67%,1,48%,1,8%,No,73%,No,No,Yes,,Transactional,63%,B2C,40%,Low,44%,High,68%,,3.0,1.0,1.0,1.0,1.5,Pre-Revenue,22%,,1.0,No,76%,Low,54%,High,83%,,,2.3,,11.5,2.7
Olivia,1802409,FIREPIE,,WeFunder,https://wefunder.com/firepie,https://www.sec.gov/Archives/edgar/data/1802409/000167025420000099/xslC_X01/primary_doc.xml,2/10/2020,"Fasty Fresh, Inc.",FIREPIE,Food & Beverages,Non-Tech,Early,Pre-Seed,RegCF,,SAFE,,,,"$4,500,000",20%,Transactional,B2C,Life Style,Yes,Low,High,No,"$47,000,000,000",$25B-$50B,"$10,000,000,000",$10B-$25B,1.9%,0%-10%,100,High,Low,Similar to others,Low,High,No,No,Yes,Yes,"$1,282,750","$24,193","$435,700",5.55%,Pre-Profit,,No,0,1,No,No,No,No,1,5,0,2,,0,1,0,49,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,49.00,35 - 54,5.55%,,4.9,3.1,,,4.0,SAFE,36.5%,Early,,3.3,1.4,2.4,No,,1.0,1.4,1.0,1.1,35 - 54,67%,1,48%,5,13%,No,73%,No,No,No,,Transactional,63%,B2C,40%,Low,44%,High,68%,,5.0,1.3,4.8,1.1,3.0,Pre-Profit,49%,,3.0,No,76%,Low,54%,High,83%,,,2.7,,13.5,3.4
Olivia,1736388,R3 Printing,,StartEngine,https://www.startengine.com/r3printinginc,https://www.sec.gov/Archives/edgar/data/1736388/000166516020000248/xslC_X01/primary_doc.xml,3/17/2020,"R3 Printing, Inc.",R3 Printing,Printing,CommerceTech,Early,Pre-Seed,RegCF,,Convertible Note,,,,"$8,000,000",18%,Transactional,B2B,High Growth,Yes,High,High,Yes,"$9,900,000,000",$5B-$10B,"$8,440,000,000",$5B-$10B,17.7%,10%-20%,20,High,Low,Obviously better than others,Low,High,No,Yes,No,No,$0,"$14,347","$550,000",2.61%,Pre-Product,,Yes,7,1,No,No,No,No,2,5,1,2,,2,0,0,28,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,0.00,0.00,28.00,20 - 34,2.61%,,4.7,2.9,,,3.8,Convertible Note,12.7%,Early,,3.0,1.7,2.4,No,,1.2,1.0,1.0,1.1,20 - 34,22%,1,48%,5,13%,No,73%,No,No,No,,Transactional,63%,B2B,22%,High,56%,High,68%,,1.0,1.0,4.9,1.1,2.0,Pre-Product,24%,,3.0,Yes,24%,Low,54%,High,83%,,,2.4,,12.2,3.0
Olivia,1689683,Our Life Foods,,MicroVentures,https://app.microventures.com/crowdfunding/a-cajun-life,https://www.sec.gov/Archives/edgar/data/1689683/000168968320000002/xslC_X01/primary_doc.xml,3/18/2020,"Our Life Foods, Inc.",Our Life Foods,Food & Beverages,Non-Tech,Early,Pre-Seed,RegCF,,Convertible Note,,,,"$4,000,000",20%,Transactional,B2B/B2C,Life Style,No,Low,High,Yes,"$806,000,000,000",$500B-$1T,"$12,500,000,000",$10B-$25B,11.8%,10%-20%,3,High,Low,Similar to others,Low,High,No,No,Yes,Yes,"$489,576","$12,123",$0,100.00%,Pre-Profit,,Yes,9,1,No,No,No,No,1,2,0,0,,9,0,0,39,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,0.00,0.00,39.00,35 - 54,100.00%,,4.9,3.1,,,4.0,Convertible Note,12.7%,Early,,3.3,1.7,2.5,No,,1.9,1.0,1.0,1.3,35 - 54,67%,1,48%,2,14%,No,73%,No,No,No,,Transactional,63%,B2B/B2C,35%,Low,44%,High,68%,,5.0,1.1,1.0,1.0,2.0,Pre-Profit,49%,,3.0,No,76%,Low,54%,High,83%,,,2.6,,12.8,3.2
Olivia,1807032,"Penny Luck Shoes, Inc.",,StartEngine,https://www.startengine.com/penny-luck,https://www.sec.gov/Archives/edgar/data/1807032/000166516020000258/xslC_X01/primary_doc.xml,3/19/2020,"Penny Luck Shoes, Inc.",Penny Luck Shoes,Apparel & Fashion,Non-Tech,Early,Pre-Seed,RegCF,,Equity - Common,,,"$7,100,000",,,Transactional,B2C,Life Style,No,Low,High,No,"$207,600,000,000",$100B-$250B,"$28,800,000",$25M-$50M,6.2%,0%-10%,32,High,Low,Similar to others,Low,High,Yes,No,Yes,Yes,"$244,163","$2,256",$0,100.00%,Pre-Profit,,Yes,1,1,No,No,No,No,1,3,0,0,,0,1,0,30,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,30.00,20 - 34,100.00%,,4.8,,,,4.8,Equity - Common,28.6%,Early,,1.3,1.4,1.4,Yes,,1.0,1.4,1.0,1.1,20 - 34,22%,1,48%,3,10%,No,73%,No,No,No,,Transactional,63%,B2C,40%,Low,44%,High,68%,,5.0,1.1,1.0,1.0,2.0,Pre-Profit,49%,,3.0,No,76%,Low,54%,High,83%,,,2.5,,12.3,3.0
Olivia,1805193,Ouro Goods,,StartEngine,https://www.startengine.com/younggodbrands,https://www.sec.gov/Archives/edgar/data/1805193/000166516020000251/xslC_X01/primary_doc.xml,3/19/2020,Young God INC.,Ouro Goods,Apparel & Fashion,Non-Tech,Early,Pre-Seed,RegCF,,Equity - Common,,,"$5,490,000",,,Transactional,B2C,Life Style,No,Low,High,No,"$25,000,000,000",$25B-$50B,"$3,600,000,000",$1B-$5B,6.5%,0%-10%,25,Low,Low,Similar to others,Low,Low,No,No,Yes,Yes,"$492,684","$2,491",$0,100.00%,Pre-Profit,,No,0,1,No,No,No,No,1,2,0,0,,0,1,0,29,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,29.00,20 - 34,100.00%,,4.8,,,,4.8,Equity - Common,28.6%,Early,,2.7,1.4,2.1,No,,1.0,1.4,1.0,1.1,20 - 34,22%,1,48%,2,14%,No,73%,No,No,No,,Transactional,63%,B2C,40%,Low,44%,High,68%,,5.0,1.1,1.0,1.0,2.0,Pre-Profit,49%,,1.0,No,76%,Low,54%,Low,17%,,,2.2,,11.0,2.5
Olivia,1776308,Lifograph,02/18/2020 12:20 PM,WeFunder,https://wefunder.com/lifograph,https://www.sec.gov/Archives/edgar/data/1776308/000167025420000084/xslC_X01/primary_doc.xml,2/5/2020,"LIFOGRAPH, INC.",Lifograph,Computer Software,MediaTech,Early,Pre-Seed,RegCF,,SAFE,,,,"$6,250,000",20%,Recurring,B2B,High Growth,Yes,High,Low,No,"$46,000,000,000",$25B-$50B,"$17,000,000,000",$10B-$25B,14.0%,10%-20%,6,High,Low,Similar to others,Low,High,No,No,Yes,Yes,"$52,525",$944,"$513,950",0.18%,Pre-Profit,,No,0,1,No,Yes,No,No,2,13,3,0,,0,1,0,45,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,45.00,35 - 54,0.18%,,4.8,3.1,,,4.0,SAFE,36.5%,Early,,3.3,1.7,2.5,No,,1.0,1.4,1.0,1.1,35 - 54,67%,1,48%,13,3%,No,73%,Yes,No,No,,Recurring,37%,B2B,22%,High,56%,Low,32%,,5.0,1.0,5.0,1.1,3.0,Pre-Profit,49%,,3.0,No,76%,Low,54%,High,83%,,,2.7,,13.6,3.5
Olivia,1799584,Wearwell,02/19/2020 11:03 AM,Republic,https://republic.co/wearwell,https://www.sec.gov/Archives/edgar/data/1799584/000179958420000003/xslC_X01/primary_doc.xml,2/14/2020,"Wearwell, Inc.",Wearwell,Apparel & Fashion,Non-Tech,Early,Pre-Seed,RegCF,,SAFE,,,,"$8,000,000",10%,Recurring,B2C,Life Style,Yes,High,High,No,"$360,000,000,000",$250B-$500B,"$37,000,000,000",$25B-$50B,9.2%,0%-10%,15,High,Low,Similar to others,Low,High,Yes,No,Yes,Yes,"$56,258","$5,555","$200,000",2.78%,Pre-Profit,,Yes,0,2,Yes,Yes,No,No,3,3,0,0,,15,0,0,33,Yes,,3,0,0,34,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,0.00,0.00,33.50,20 - 34,2.78%,,4.7,2.1,,,3.4,SAFE,36.5%,Early,,3.6,1.4,2.5,Yes,,1.9,1.0,1.0,1.3,20 - 34,22%,2,41%,3,10%,Yes,27%,Yes,No,No,,Recurring,37%,B2C,40%,High,56%,High,68%,,5.0,1.0,4.9,1.0,3.0,Pre-Profit,49%,,3.0,No,76%,Low,54%,High,83%,,,2.6,,13.2,3.3
