writer,cik,company,date_created,platform,platform_url,sec_filing_url,sec_filing_date,legal_name,dba,industry,tech_sector,stage,series,crowdfunding_type_1,crowdfunding_type_2,security_type,rev_share_return_multiple,debt_interest_rate,pre_money_valuation,valuation_cap,discount_rate,valuation_cap_after_discount,valuations_combined,valuations_brackets,revenue_model,distrubution_model,business_type,has_scalable_business_model,margin_level,capital_intensity_level,accelerator_program,market_size_total,market_size_total_buckets,market_size_addressable,market_size_addressable_buckets,market_growth_rate,market_growth_rate_buckets,direct_competitors,differentiation_level_quality,differentiation_level_price,how_is_it_10x_better,barriers_to_entry,threat_of_substitute_products,has_social_impact,has_patents,has_users,has_paying_customers,total_revenue,total_revenue_brackets,monthly_burn,prior_rounds_total_amount_raised,prior_rounds_total_amount_raised_buckets,monthly_burn_rate,monthly_burn_rate_of_capital_buckets,development_phase,bio_development_phase,has_partnerships,relevant_partners,founders,has_shared_experience,has_female_founders,has_minority_founders,has_famous_founders,unique_universities,employees,relevent_advisors,notable_investors,spacer founder 1,founder_1_relevant_industry_experience,founder_1_previous_startups,founder_1_exits,founder_1_age,founder_1_graduated_from_top_100,spacer founder 2,founder_2_relevant_industry_experience,founder_2_previous_startups,founder_2_exits,founder_2_age,founder_2_graduated_from_top_100,spacer founder 3,founder_3_relevant_industry_experience,founder_3_previous_startups,founder_3_exits,founder_3_age,founder_3_graduated_from_top_100,spacer founder 4,founder_4_relevant_industry_experience,founder_4_previous_startups,founder_4_exits,founder_4_age,founder_4_graduated_from_top_100,spacer founder 5,founder_5_relevant_industry_experience,founder_5_previous_startups,founder_5_exits,founder_5_age,founder_5_graduated_from_top_100,spacer founder 6,founder_6_relevant_industry_experience,founder_6_previous_startups,founder_6_exits,founder_6_age,founder_6_graduated_from_top_100,spacer founder 7,founder_7_relevant_industry_experience,founder_7_previous_startups,founder_7_exits,founder_7_age,founder_7_graduated_from_top_100,spacer founder 8,founder_8_relevant_industry_experience,founder_8_previous_startups,founder_8_exits,founder_8_age,founder_8_graduated_from_top_100,spacer founder 9,founder_9_relevant_industry_experience,founder_9_previous_startups,founder_9_exits,founder_9_age,founder_9_graduated_from_top_100,,,,
Olivia,1752964,Axleai,,Republic,https://republic.co/axle-ai,https://www.sec.gov/Archives/edgar/data/1752964/000175296420000003/xslC_X01/primary_doc.xml,3/16/2020,"Axle AI, Inc.",Axle.ai,Computer Software,MediaTech,Early,Pre-Seed,RegCF,,SAFE,,,,"$7,000,000 ",20%,"$5,600,000 ",5600000,#NAME?,Recurring,B2B,High Growth,Yes,High,Low,Yes,"$390,000,000,000 ",#NAME?,"$5,000,000,000 ",#NAME?,18.20%,#NAME?,15,High,Low,Obviously better than others,Low,High,No,No,Yes,Yes,853807,#NAME?,20734,"$377,000 ",#NAME?,5.50%,#NAME?,Pre-Profit,,No,0,1,No,No,No,No,1,11,0,4,,13,3,0,60,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1806624,"Bruno Albouze, Inc.",,StartEngine,https://www.startengine.com/bruno-albouze-inc,https://www.sec.gov/Archives/edgar/data/1806624/000166516020000225/xslC_X01/primary_doc.xml,3/13/2020,Bruno Albouze Inc.,Bruno Albouze,Food & Beverages,Non-Tech,Early,Pre-Seed,RegCF,,Equity - Common,,,"$6,410,000 ",,,,6410000,#NAME?,Transactional,B2C,Life Style,No,Low,High,No,"$203,800,000,000 ",#NAME?,"$3,000,000,000 ",#NAME?,3.00%,#NAME?,100,Low,Low,Similar to others,Low,High,No,No,Yes,No,0,#NAME?,0,$0 ,#NAME?,100.00%,#NAME?,Pre-Revenue,,No,0,1,No,No,No,Yes,0,1,0,0,,35,0,0,49,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1802409,FIREPIE,,WeFunder,https://wefunder.com/firepie,https://www.sec.gov/Archives/edgar/data/1802409/000167025420000099/xslC_X01/primary_doc.xml,2/10/2020,"Fasty Fresh, Inc.",FIREPIE,Food & Beverages,Non-Tech,Early,Pre-Seed,RegCF,,SAFE,,,,"$4,500,000 ",20%,"$3,600,000 ",3600000,#NAME?,Transactional,B2C,Life Style,Yes,Low,High,No,"$47,000,000,000 ",#NAME?,"$10,000,000,000 ",#NAME?,1.90%,#NAME?,100,High,Low,Similar to others,Low,High,No,No,Yes,Yes,1282750,#NAME?,24193,"$435,700 ",#NAME?,5.55%,#NAME?,Pre-Profit,,No,0,1,No,No,No,No,1,5,0,2,,0,1,0,49,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1736388,R3 Printing,,StartEngine,https://www.startengine.com/r3printinginc,https://www.sec.gov/Archives/edgar/data/1736388/000166516020000248/xslC_X01/primary_doc.xml,3/17/2020,"R3 Printing, Inc.",R3 Printing,Printing,CommerceTech,Early,Pre-Seed,RegCF,,Convertible Note,,,,"$8,000,000 ",18%,"$6,560,000 ",6560000,#NAME?,Transactional,B2B,High Growth,Yes,High,High,Yes,"$9,900,000,000 ",#NAME?,"$8,440,000,000 ",#NAME?,17.70%,#NAME?,20,High,Low,Obviously better than others,Low,High,No,Yes,No,No,0,#NAME?,14347,"$550,000 ",#NAME?,2.61%,#NAME?,Pre-Product,,Yes,7,1,No,No,No,No,2,5,1,2,,2,0,0,28,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1689683,Our Life Foods,,MicroVentures,https://app.microventures.com/crowdfunding/a-cajun-life,https://www.sec.gov/Archives/edgar/data/1689683/000168968320000002/xslC_X01/primary_doc.xml,3/18/2020,"Our Life Foods, Inc.",Our Life Foods,Food & Beverages,Non-Tech,Early,Pre-Seed,RegCF,,Convertible Note,,,,"$4,000,000 ",20%,"$3,200,000 ",3200000,#NAME?,Transactional,B2B/B2C,Life Style,No,Low,High,Yes,"$806,000,000,000 ",#NAME?,"$12,500,000,000 ",#NAME?,11.80%,#NAME?,3,High,Low,Similar to others,Low,High,No,No,Yes,Yes,489576,#NAME?,12123,$0 ,#NAME?,100.00%,#NAME?,Pre-Profit,,Yes,9,1,No,No,No,No,1,2,0,0,,9,0,0,39,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1807032,"Penny Luck Shoes, Inc.",,StartEngine,https://www.startengine.com/penny-luck,https://www.sec.gov/Archives/edgar/data/1807032/000166516020000258/xslC_X01/primary_doc.xml,3/19/2020,"Penny Luck Shoes, Inc.",Penny Luck Shoes,Apparel & Fashion,Non-Tech,Early,Pre-Seed,RegCF,,Equity - Common,,,"$7,100,000 ",,,,7100000,#NAME?,Transactional,B2C,Life Style,No,Low,High,No,"$207,600,000,000 ",#NAME?,"$28,800,000 ",#NAME?,6.20%,#NAME?,32,High,Low,Similar to others,Low,High,Yes,No,Yes,Yes,244163,#NAME?,2256,$0 ,#NAME?,100.00%,#NAME?,Pre-Profit,,Yes,1,1,No,No,No,No,1,3,0,0,,0,1,0,30,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1805193,Ouro Goods,,StartEngine,https://www.startengine.com/younggodbrands,https://www.sec.gov/Archives/edgar/data/1805193/000166516020000251/xslC_X01/primary_doc.xml,3/19/2020,Young God INC.,Ouro Goods,Apparel & Fashion,Non-Tech,Early,Pre-Seed,RegCF,,Equity - Common,,,"$5,490,000 ",,,,5490000,#NAME?,Transactional,B2C,Life Style,No,Low,High,No,"$25,000,000,000 ",#NAME?,"$3,600,000,000 ",#NAME?,6.50%,#NAME?,25,Low,Low,Similar to others,Low,Low,No,No,Yes,Yes,492684,#NAME?,2491,$0 ,#NAME?,100.00%,#NAME?,Pre-Profit,,No,0,1,No,No,No,No,1,2,0,0,,0,1,0,29,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1776308,Lifograph,2/18/2020 12:20,WeFunder,https://wefunder.com/lifograph,https://www.sec.gov/Archives/edgar/data/1776308/000167025420000084/xslC_X01/primary_doc.xml,2/5/2020,"LIFOGRAPH, INC.",Lifograph,Computer Software,MediaTech,Early,Pre-Seed,RegCF,,SAFE,,,,"$6,250,000 ",20%,"$5,000,000 ",5000000,#NAME?,Recurring,B2B,High Growth,Yes,High,Low,No,"$46,000,000,000 ",#NAME?,"$17,000,000,000 ",#NAME?,14.00%,#NAME?,6,High,Low,Similar to others,Low,High,No,No,Yes,Yes,52525,#NAME?,944,"$513,950 ",#NAME?,0.18%,#NAME?,Pre-Profit,,No,0,1,No,Yes,No,No,2,13,3,0,,0,1,0,45,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1799584,Wearwell,2/19/2020 11:03,Republic,https://republic.co/wearwell,https://www.sec.gov/Archives/edgar/data/1799584/000179958420000003/xslC_X01/primary_doc.xml,2/14/2020,"Wearwell, Inc.",Wearwell,Apparel & Fashion,Non-Tech,Early,Pre-Seed,RegCF,,SAFE,,,,"$8,000,000 ",10%,"$7,200,000 ",7200000,#NAME?,Recurring,B2C,Life Style,Yes,High,High,No,"$360,000,000,000 ",#NAME?,"$37,000,000,000 ",#NAME?,9.20%,#NAME?,15,High,Low,Similar to others,Low,High,Yes,No,Yes,Yes,56258,#NAME?,5555,"$200,000 ",#NAME?,2.78%,#NAME?,Pre-Profit,,Yes,0,2,Yes,Yes,No,No,3,3,0,0,,15,0,0,33,Yes,,3,0,0,34,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1708246,Jetoptera,2/20/2020 10:25,Microventures,https://app.microventures.com/crowdfunding/jetoptera,https://www.sec.gov/Archives/edgar/data/1708246/000170824620000001/xslC_X01/primary_doc.xml,2/19/2020,"Jetoptera, Inc.",Jetoptera,Transportation/Trucking/Railroad,HardwareTech,Early,Seed,RegCF,,Convertible Note,,,,"$22,000,000 ",20%,"$17,600,000 ",17600000,#NAME?,Transactional,B2B,Life Style,Yes,Low,High,Yes,"$7,100,000,000 ",#NAME?,"$3,500,000,000 ",#NAME?,5.80%,#NAME?,4,Low,Low,Similar to others,High,Low,No,Yes,No,No,0,#NAME?,138175,"$4,900,000 ",#NAME?,2.82%,#NAME?,Pre-Revenue,,Yes,2,3,No,Yes,No,No,7,5,0,0,,0,0,0,42,Yes,,14,0,0,39,Yes,,0,1,0,59,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1806364,Mevo,,WeFunder,https://wefunder.com/mevo,https://www.sec.gov/Archives/edgar/data/1806364/000167025420000189/xslC_X01/primary_doc.xml,3/16/2020,"Mevo, Inc.",Mevo,Computer Hardware,HardwareTech,Early,Pre-Seed,RegCF,,Equity - Preferred,,,"$12,000,000 ",,,,12000000,#NAME?,Transactional,B2C,Life Style,Yes,Low,High,No,"$184,000,000,000 ",#NAME?,"$42,600,000,000 ",#NAME?,20.40%,#NAME?,9,High,Low,Obviously better than others,Low,High,No,No,Yes,Yes,4428320,#NAME?,261255,"$3,274,790 ",#NAME?,7.98%,#NAME?,Pre-Profit,,Yes,1,1,No,No,No,No,0,27,0,1,,11,2,1,42,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1803906,TrustFund,,NetCapital,https://netcapital.com/companies/trustfund,https://www.sec.gov/Archives/edgar/data/1803906/000166919120000138/xslC_X01/primary_doc.xml,3/25/2020,"Impact X Partners, LLC",TrustFund,Financial Services,FinTech,Early,Seed,RegCF,,Equity - Common,,,"$2,500,000 ",,,,2500000,#NAME?,Recurring,B2C,High Growth,Yes,Low,Low,No,"$100,100,000,000 ",#NAME?,"$5,180,000,000 ",#NAME?,7.00%,#NAME?,25,Low,Low,Obviously worse than others,Low,High,No,No,No,No,0,#NAME?,3685,"$600,000 ",#NAME?,0.61%,#NAME?,Pre-Revenue,,Yes,10,2,No,No,No,No,2,4,0,0,,0,3,0,35,Yes,,20,1,0,45,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1759403,GRIT BXNG,,Republic,https://republic.co/grit,https://www.sec.gov/Archives/edgar/data/1759403/000121390020007152/xslC_X01/primary_doc.xml,3/23/2020,"Work Hard Play Hard Train Hard, Inc.",GRIT BXNG,"Health, Welness & Fitness",Non-Tech,Growth,Seed,RegCF,,Equity - Common,,,"$15,000,000 ",,,,15000000,#NAME?,Transactional,B2C,Life Style,Yes,Low,High,No,"$80,000,000,000 ",#NAME?,"$9,100,000,000 ",#NAME?,7.80%,#NAME?,15,High,Low,Similar to others,Low,High,No,No,Yes,Yes,0,#NAME?,53663,"$5,000,000 ",#NAME?,1.07%,#NAME?,Profitable,,No,0,3,Yes,Yes,No,No,5,12,0,7,,0,1,0,66,No,,0,0,0,25,Yes,,0,0,0,21,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1789874,SideHustle App,,WeFunder,https://wefunder.com/sidehustle.app,https://www.sec.gov/Archives/edgar/data/1789874/000167025420000184/xslC_X01/primary_doc.xml,3/13/2020,SideHustle App Inc,SideHustle App,Marketing & Advertising,CommerceTech,Early,Pre-Seed,RegCF,,SAFE,,,,"$2,400,000 ",20%,"$1,920,000 ",1920000,#NAME?,Transactional,B2B,High Growth,Yes,Low,Low,No,"$337,800,000,000 ",#NAME?,"$11,000,000,000 ",#NAME?,22.90%,#NAME?,80,Low,Low,Obviously worse than others,Low,High,No,No,Yes,Yes,26316,#NAME?,2619,$0 ,#NAME?,100.00%,#NAME?,Pre-Profit,,No,0,1,No,No,Yes,No,0,5,0,0,,0,0,0,42,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1776458,Kazoo,,WeFunder,https://wefunder.com/kazoo,https://www.sec.gov/Archives/edgar/data/1776458/000167025420000119/xslC_X01/primary_doc.xml,2/18/2020,Kazoo LLC,Kazoo,Computer Software,MediaTech,Early,Pre-Seed,RegCF,,Convertible Note,,,,"$2,750,000 ",20%,"$2,200,000 ",2200000,$2M - $4M,Recurring,B2B/B2C,High Growth,Yes,High,Low,No,"$12,900,000,000 ",$10B-$25B,"$446,000,000 ",$250M-$500M,16.00%,10%-20%,7,Low,High,Obviously worse than others,Low,High,No,No,No,No,0,< $10K,10852,"$434,179 ",$100K - $500K,2.50%,< 10%,Pre-Revenue,,Yes,2,2,No,Yes,Yes,No,2,5,0,2,,2,3,0,42,No,,0,3,0,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1804160,Next Door Photos,,WeFunder,https://wefunder.com/next.door.photos,https://www.sec.gov/Archives/edgar/data/1804160/000167025420000193/xslC_X01/primary_doc.xml,3/19/2020,"3DMia, LLC",Next Door Photos,Marketing & Advertising,MarketplaceTech,Early,Seed,RegCF,,Equity - Common,,,"$8,000,000 ",,,,8000000,$6M - $8M,Transactional,B2B,Life Style,Yes,High,Low,No,"$2,000,000,000 ",$1B-$5B,"$74,000,000 ",$50M-$100M,9.50%,0%-10%,0,High,High,Obviously better than others,Low,High,No,No,Yes,Yes,931839,$500K - $1M,51577,"$1,685,000 ",$1M - $2M,3.06%,< 10%,Pre-Profit,,Yes,300,2,No,No,No,No,2,66,0,1,,0,0,0,53,No,,0,0,0,33,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia,1804004,Clear Genius,,StartEngine,https://www.startengine.com/clear-genius,https://www.sec.gov/Archives/edgar/data/1804004/000166516020000276/xslC_X01/primary_doc.xml,3/27/2020,Clear Genius Inc.,Clear Genius,Consumer Goods,Non-Tech,Early,Pre-Seed,RegCF,,Equity - Common,,,,"$5,500,000 ",,"$5,500,000 ",5500000,$4M - $6M,Recurring,B2C,Life Style,No,Low,High,No,"$8,600,000,000 ",$5B-$10B,"$2,000,000,000 ",$1B-$5B,15.90%,10%-20%,10,Low,Low,Similar to others,Low,High,Yes,Yes,Yes,Yes,266848,$100K - $500K,37415,$0 ,< $10K,100.00%,90% - 100%,Pre-Profit,,No,0,1,No,No,No,No,1,8,1,0,,0,1,0,42,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
