week,writer,cik,company,date_created,platform,platform_url,sec_filing_url,sec_filing_date,legal_name,dba,city,industry,tech_sector,stage,series,crowdfunding_type_1,crowdfunding_type_2,security_type,rev_share_return_multiple,debt_interest_rate,pre_money_valuation,valuation_cap,discount_rate,valuation_cap_after_discount,valuations_combined,valuations_brackets,revenue_model,distrubution_model,business_type,has_scalable_business_model,margin_level,capital_intensity_level,accelerator_program,addressable_market,market_size_addressable,market_size_addressable_buckets,market_size_obtainable,market_size_obtainable_buckets,market_growth_rate,market_growth_rate_buckets,direct_competitors_buckets,differentiation_level_quality,differentiation_level_price,how_is_it_10x_better,barriers_to_entry,threat_of_substitute_products,has_social_impact,has_patents,has_users,has_paying_customers,total_revenue,total_revenue_brackets,monthly_burn,prior_rounds_total_amount_raised,prior_rounds_total_amount_raised_buckets,monthly_burn_rate,monthly_burn_rate_of_capital_buckets,development_phase,bio_development_phase,has_partnerships,relevant_partners,founders,has_shared_experience,has_female_founders,has_minority_founders,has_famous_founders,unique_universities,employees,relevent_advisors,notable_investors,spacer founder 1,founder_1_relevant_industry_experience,founder_1_exits,founder_1_age,founder_1_graduated_from_top_100,spacer founder 2,founder_2_relevant_industry_experience,founder_2_exits,founder_2_age,founder_2_graduated_from_top_100,spacer founder 3,founder_3_relevant_industry_experience,founder_3_exits,founder_3_age,founder_3_graduated_from_top_100,spacer founder 4,founder_4_relevant_industry_experience,founder_4_exits,founder_4_age,founder_4_graduated_from_top_100,spacer founder 5,founder_5_relevant_industry_experience,founder_5_exits,founder_5_age,founder_5_graduated_from_top_100,spacer founder 6,founder_6_relevant_industry_experience,founder_6_exits,founder_6_age,founder_6_graduated_from_top_100,spacer founder 7,founder_7_relevant_industry_experience,founder_7_exits,founder_7_age,founder_7_graduated_from_top_100,spacer founder 8,founder_8_relevant_industry_experience,founder_8_exits,founder_8_age,founder_8_graduated_from_top_100,spacer founder 9,founder_9_relevant_industry_experience,founder_9_exits,founder_9_age,founder_9_graduated_from_top_100,,,,,,avg_relevant_industry_experience,avg_relevant_industry_experience_brackets,sum_exits,sum_exits_brackets,avg_age,age_buckets,,Valuation/Cap,Discount Rate,Interest Rate,Return Multiple,Price Rating,Attributes - Security Type,%,Tags - Stage,,Addressable Market Size,Market Growth,Sum,Market Rating,Tags - Social Impact,,Relevant Industry Experience,Exits,Sum,Team Rating,Attributes - Founders Age,%,Attributes - # of Founders,%,Attributes - Employees,%,Attributes - Founders Worked Together,%,Tags - Female Founder,Tags - Minority Founder,Tags - Famous Founder,,Attributes - Revenue Model,%,Attributes - Distribution Model,%,Attributes - Margin,%,Attributes - Capital Intensity,%,,Has Paying Customers,Revenue,Capital Utilization,Capital Raised,Sum,Performance Rating,Attribute - Development Phase,%,,Diffrentiation Level Rating,Direct Competitors,Sum,Diffrentiation Rating,Attribute - has_patents,%,Attribute - barriers_to_entry,%,Attribute - threat_of_substitute_products,%,,,Sum,Overall Ratings (Scaled Sum)
,Olivia,1804004,Clear Genius,,StartEngine,https://www.startengine.com/clear-genius,https://www.sec.gov/Archives/edgar/data/1804004/000166516020000276/xslC_X01/primary_doc.xml,3/27/2020,Clear Genius Inc.,Clear Genius,,Consumer Goods & Services,Non-Tech,Early,Pre-Seed,RegCF,,Equity - Common,,,,"$5,500,000",,"$5,500,000",5500000,$4M - $6M,Recurring,B2C,Life Style,No,Low,High,No,,8600000000,$5B-$10B,2000000000,$1B-$5B,0.159,#NAME?,5-10,Low,Low,Similar to others,Low,High,Yes,Yes,Yes,Yes,"$266,848",$100K - $500K,37415,0,< $10K,1,90% - 100%,Pre-Profit,,No,0,1,No,No,No,No,1,8,1,0,,0,0,42,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,42.00,#NAME?,,#NAME?,,,,#NAME?,Equity - Common,32.2%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,Yes,,1.0,1.0,2.0,1.0,#NAME?,100%,1,46%,8,6%,No,72%,No,No,No,,Recurring,40%,B2C,41%,Low,47%,High,59%,,5.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Profit,51%,,#NAME?,#NAME?,#NAME?,#NAME?,Yes,23%,Low,56%,High,80%,,,#NAME?,#NAME?
,Olivia,1808015,Infinovate,,NetCapital,https://netcapital.com/companies/infinovate,https://www.sec.gov/Archives/edgar/data/1808015/000166919120000164/xslC_X01/primary_doc.xml,4/7/2020,Infinovate LLC,Infinovate,,Financial & Insurance Products & Services,FinTech,Early,Pre-Seed,RegCF,,Equity - Common,,,,"$10,000,000",,"$10,000,000",10000000,$8M - $10M,Recurring,B2B,High Growth,Yes,High,Low,No,,1.2766E+11,$100B-$250B,3000000000,$1B-$5B,0.1152,#NAME?,20-30,Low,Low,Obviously worse than others,Low,High,No,No,No,No,$0,< $10K,52766,0,< $10K,1,90% - 100%,Pre-Product,,No,0,1,No,Yes,No,No,1,4,0,0,,17,0,40,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,,0.00,,40.00,#NAME?,,#NAME?,,,,#NAME?,Equity - Common,32.2%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,No,,2.6,1.0,3.6,2.3,#NAME?,100%,1,46%,4,12%,No,72%,Yes,No,No,,Recurring,40%,B2B,24%,High,53%,Low,41%,,1.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Product,22%,,#NAME?,#NAME?,#NAME?,#NAME?,No,77%,Low,56%,High,80%,,,#NAME?,#NAME?
,Olivia,1738026,Reflex Protect,,Republic,https://republic.co/reflex-protect,https://www.sec.gov/Archives/edgar/data/1738026/000173802620000002/xslC_X01/primary_doc.xml,4/9/2020,"Reflex Red Storm, LLC",Reflex Protect,,Consumer Goods & Services,Non-Tech,Growth,Seed,RegCF,,SAFE,,,,"$9,000,000",0%,"$9,000,000",9000000,$8M - $10M,Transactional,B2B/B2C,Life Style,No,High,High,No,,2400000000,$1B-$5B,26000000,$25M-$50M,0.15,#NAME?,< 5,High,Low,Obviously better than others,High,Low,Yes,Yes,Yes,Yes,"$238,234",$100K - $500K,37509,1125000,$1M - $2M,0.0333,< 10%,Pre-Profit,,Yes,76,2,No,No,No,No,2,8,0,1,,0,0,55,Yes,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,55.00,#NAME?,,#NAME?,1.0,,,#NAME?,SAFE,37.8%,Growth,,#NAME?,#NAME?,#NAME?,#NAME?,Yes,,1.0,1.0,2.0,1.0,#NAME?,100%,2,46%,8,6%,No,72%,No,No,No,,Transactional,60%,B2B/B2C,28%,High,53%,High,59%,,5.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Profit,51%,,3.0,#NAME?,#NAME?,#NAME?,Yes,23%,High,43%,Low,19%,,,#NAME?,#NAME?
,Francis,1786855,College Coaching Network,,NetCapital,https://netcapital.com/companies/college-coaching-network,https://www.sec.gov/Archives/edgar/data/1786855/000166919120000144/xslC_X01/primary_doc.xml,3/27/2020,College Coaching Network Inc.,College Coaching Network,,"Education, Training, & Coaching",EdTech,Early,Seed,RegCF,,Equity - Common,,,"$2,529,820",,,,2529820,$2M - $4M,Recurring,B2B,High Growth,Yes,High,Low,No,,1000000000,$1B-$5B,300000000,$250M-$500M,0.15,#NAME?,10-20,High,Low,Obviously better than others,High,High,No,No,Yes,Yes,"$15,000",$10K - $50K,0,0,< $10K,1,90% - 100%,Profitable,,Yes,15,2,No,No,Yes,No,2,7,2,0,,2,0,45,No,,5,0,45,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,0.00,,45.00,#NAME?,,#NAME?,,,,#NAME?,Equity - Common,32.2%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,No,,1.3,1.0,2.3,1.3,#NAME?,100%,2,46%,7,4%,No,72%,No,Yes,No,,Recurring,40%,B2B,24%,High,53%,Low,41%,,5.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Profitable,7%,,3.0,#NAME?,#NAME?,#NAME?,No,77%,High,43%,High,80%,,,#NAME?,#NAME?
,Francis,1807984,All ebt Foundation,,Republic,https://republic.co/all_ebt,https://www.sec.gov/Archives/edgar/data/1807984/000180798420000003/xslC_X01/primary_doc.xml,3/30/2020,All ebt Foundation,All_ebt,,"Food, Beverage, & Restaurants",FinTech,Early,Pre-Seed,RegCF,,SAFE,,,,"$5,000,000",0%,"$5,000,000",5000000,$4M - $6M,Recurring,B2C,High Growth,Yes,Low,Low,No,,50000000000,$50B-$100B,5000000000,$5B-$10B,0.2,#NAME?,< 5,High,High,Obviously better than others,High,Low,Yes,No,No,No,$0,< $10K,0,0,< $10K,1,90% - 100%,Pre-Product,,No,0,2,No,No,Yes,No,2,2,3,2,,3,0,36,No,,0,0,20,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,0.00,,28.00,#NAME?,,#NAME?,1.0,,,#NAME?,SAFE,37.8%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,Yes,,1.1,1.0,2.1,1.1,#NAME?,100%,2,46%,2,16%,No,72%,No,Yes,No,,Recurring,40%,B2C,41%,Low,47%,Low,41%,,1.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Product,22%,,#NAME?,#NAME?,#NAME?,#NAME?,No,77%,High,43%,Low,19%,,,#NAME?,#NAME?
,Francis,1807742,CricClubs,,Republic,https://republic.co/cricclubs,https://www.sec.gov/Archives/edgar/data/1807742/000180774220000002/xslC_X01/primary_doc.xml,3/27/2020,CricClubs Inc,CricClubs,,Computer Software,MarketplaceTech,Early,Seed,RegCF,,SAFE,,,,"$12,500,000",20%,"$10,000,000",10000000,$8M - $10M,Transactional,B2C,High Growth,Yes,Low,Low,No,,50000000000,$50B-$100B,10000000000,$10B-$25B,-0.01,#NAME?,5-10,Low,Low,Similar to others,Low,High,No,No,Yes,Yes,"$574,457",$500K - $1M,4000,205000,$100K - $500K,0.0195,< 10%,Pre-Profit,,Yes,2,2,No,No,Yes,No,4,5,0,0,,8,0,40,No,,10,0,40,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,,0.00,,40.00,#NAME?,,#NAME?,3.1,,,#NAME?,SAFE,37.8%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,No,,1.9,1.0,2.9,1.7,#NAME?,100%,2,46%,5,13%,No,72%,No,Yes,No,,Transactional,60%,B2C,41%,Low,47%,Low,41%,,5.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Profit,51%,,#NAME?,#NAME?,#NAME?,#NAME?,No,77%,Low,56%,High,80%,,,#NAME?,#NAME?
,Francis,1804169,Indy Brand Clothing,,WeFunder,https://wefunder.com/indy.brand,https://www.sec.gov/Archives/edgar/data/1804169/000167025420000181/xslC_X01/primary_doc.xml,3/3/2020,"Indy Brand Clothing, LLC",Indy Brand Clothing,,Apparel & Fashion,Non-Tech,Early,Seed,RegCF,,Equity - Common,,,"$5,000,000",,,,5000000,$4M - $6M,Transactional,B2C,Life Style,No,Low,High,No,,12700000000,$10B-$25B,100000000,$100M-$250M,0.04,#NAME?,40-50,Low,Low,Similar to others,Low,High,No,No,Yes,Yes,"$1,639,949",$1M - $2M,0,219000,$100K - $500K,1,90% - 100%,Profitable,,No,0,4,Yes,Yes,No,No,3,4,0,0,,8,0,35,No,,2,0,35,No,,5,0,35,No,,3,0,35,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50,,0.00,,35.00,#NAME?,,#NAME?,,,,#NAME?,Equity - Common,32.2%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,No,,1.4,1.0,2.4,1.3,#NAME?,100%,4,4%,4,12%,Yes,28%,Yes,No,No,,Transactional,60%,B2C,41%,Low,47%,High,59%,,5.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Profitable,7%,,#NAME?,#NAME?,#NAME?,#NAME?,No,77%,Low,56%,High,80%,,,#NAME?,#NAME?
,Francis,1759081,Solutions Vending International,,StartEngine,https://www.startengine.com/popcom,https://www.sec.gov/Archives/edgar/data/1759081/000166516020000288/xslC_X01/primary_doc.xml,3/31/2020,"Solutions Vending International, Inc.",Solutions Vending International,,Retail,RetailTech,Early,Seed,RegCF,,Equity - Common,,,"$25,000,000",,,,25000000,$24M - $26M,Recurring,B2B,High Growth,Yes,High,High,No,,25000000000,$25B-$50B,1000000000,$1B-$5B,0.09,#NAME?,5-10,High,Low,Obviously better than others,High,Low,No,No,Yes,Yes,$0,< $10K,61642,1800000,$1M - $2M,0.0342,< 10%,Pre-Profit,,Yes,1,1,No,Yes,Yes,No,3,1,2,0,,5,0,41,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,,0.00,,41.00,#NAME?,,#NAME?,,,,#NAME?,Equity - Common,32.2%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,No,,1.5,1.0,2.5,1.4,#NAME?,100%,1,46%,1,8%,No,72%,Yes,Yes,No,,Recurring,40%,B2B,24%,High,53%,High,59%,,5.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Profit,51%,,3.0,#NAME?,#NAME?,#NAME?,No,77%,High,43%,Low,19%,,,#NAME?,#NAME?
,Iliass,1774152,DoraHacks,08/14/2019 9:13 AM,Republic,https://republic.co/dorahacks,https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001774152&action=getcompany,12/19/2019,"TWENTY-SECOND CENTURY DORA TECHNOLOGY HOLDINGS, INC.",Dora Hacks,,"Business Services, Software, & Applications",MarketplaceTech,Early,Pre-Seed,RegCF,,SAFE,,,,"$35,000,000",0%,"$35,000,000",35000000,#NAME?,Transactional,B2B/B2C,High Growth,Yes,High,Low,No,,2171922408,#NAME?,217192241,#NAME?,0.235,#NAME?,10-20,High,Low,Similar to others,High,High,No,No,Yes,Yes,$0,#NAME?,8874,2000000,#NAME?,0.004437,#NAME?,Pre-Profit,,Yes,10,2,Yes,Yes,Yes,No,4,10,5,3,,6,0,31,Yes,,0,0,29,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,0.00,,30.00,#NAME?,,#NAME?,1.0,,,#NAME?,SAFE,37.8%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,No,,1.3,1.0,2.3,1.2,#NAME?,100%,2,46%,10,2%,Yes,28%,Yes,Yes,No,,Transactional,60%,B2B/B2C,28%,High,53%,Low,41%,,5.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Profit,51%,,3.0,#NAME?,#NAME?,#NAME?,No,77%,High,43%,High,80%,,,#NAME?,#NAME?
,Iliass,1725567,Neurotez,08/19/2019 9:42 AM,NetCapital,https://netcapital.com/companies/neurotez,https://www.sec.gov/Archives/edgar/data/1725567/000166919119000295/xslC_X01/primary_doc.xml,8/5/2019,Neurotez Inc.,Neurotez Inc.,,Biotechnology,BioTech,Early,Series A,RegCF,,Equity - Common,,,"$21,959,058",,,,21959058,#NAME?,Transactional,B2C,High Growth,No,High,High,No,,4160000000,#NAME?,748800000,#NAME?,0.08,#NAME?,5-10,High,Low,Similar to others,High,Low,Yes,Yes,No,No,$0,#NAME?,26434,4500000,#NAME?,0.005874222,#NAME?,Pre-Product,Phase I,No,0,1,No,No,No,No,2,10,0,2,,26,0,58,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.00,,0.00,,58.00,#NAME?,,#NAME?,,,,#NAME?,Equity - Common,32.2%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,Yes,,3.5,1.0,4.5,2.9,#NAME?,100%,1,46%,10,2%,No,72%,No,No,No,,Transactional,60%,B2C,41%,High,53%,High,59%,,1.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Product,22%,,3.0,#NAME?,#NAME?,#NAME?,Yes,23%,High,43%,Low,19%,,,#NAME?,#NAME?
,Iliass,1785391,Vendaval,08/21/2019 11:40 AM,Mr. Crowd,https://www.mrcrowd.com/company/VEND,https://www.sec.gov/Archives/edgar/data/1785391/000178539119000001/xslC_X01/primary_doc.xml,8/21/2019,Vendaval Corp.,Vendaval Corp,,Real Estate & Construction,PropTech,Early,Pre-Seed,RegCF,,Equity - Preferred,,,"$20,000,000",,,,20000000,#NAME?,Transactional,B2C,High Growth,No,High,High,No,,20000000,#NAME?,20000000,#NAME?,0,#NAME?,> 50,Low,Low,Similar to others,High,High,No,No,No,No,$0,#NAME?,5333,0,#NAME?,1,#NAME?,Pre-Product,,No,0,1,No,No,Yes,No,1,1,0,0,,0,0,48,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,48.00,#NAME?,,#NAME?,,,,#NAME?,Equity - Preferred,6.7%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,No,,1.0,1.0,2.0,1.0,#NAME?,100%,1,46%,1,8%,No,72%,No,Yes,No,,Transactional,60%,B2C,41%,High,53%,High,59%,,1.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Product,22%,,#NAME?,#NAME?,#NAME?,#NAME?,No,77%,High,43%,High,80%,,,#NAME?,#NAME?
,Iliass,1786471,Aptrea Motors,08/29/2019 9:00 AM,WeFunder,https://wefunder.com/aptera,https://www.sec.gov/Archives/edgar/data/1786471/000167025419000484/xslC_X01/primary_doc.xml,8/22/2019,Aptera Motors Corp.,Aptera,,Automotive,CleanTech,Early,Seed,RegCF,,SAFE,,,,"$20,000,000",0%,"$20,000,000",20000000,#NAME?,Transactional,B2C,High Growth,No,Low,High,No,,4E+12,#NAME?,1.85E+11,#NAME?,0.256,#NAME?,20-30,Low,Low,Similar to others,High,High,Yes,Yes,No,No,$0,#NAME?,3158,200000,#NAME?,0.01579,#NAME?,Pre-Product,,No,0,2,Yes,No,No,No,3,6,0,0,,16,0,46,No,,3,0,54,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.50,,0.00,,50.00,#NAME?,,#NAME?,1.0,,,#NAME?,SAFE,37.8%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,Yes,,1.9,1.0,2.9,1.7,#NAME?,100%,2,46%,6,6%,Yes,28%,No,No,No,,Transactional,60%,B2C,41%,Low,47%,High,59%,,1.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Product,22%,,#NAME?,#NAME?,#NAME?,#NAME?,Yes,23%,High,43%,High,80%,,,#NAME?,#NAME?
,Iliass,1689304,"Scrap Connection, Inc.",08/30/2019 3:35 PM,WeFunder,https://wefunder.com/scrap.connection.inc,https://www.sec.gov/Archives/edgar/data/1689304/000167025419000488/xslC_X01/primary_doc.xml,8/28/2019,"Scrap Connection, Inc.",Tradefox,,International Trade and Development,MarketplaceTech,Early,Seed,RegCF,,SAFE,,,,"$7,000,000",0%,"$7,000,000",7000000,#NAME?,Recurring,B2B,High Growth,Yes,High,Low,No,,2.5E+11,#NAME?,2000000000,#NAME?,0.031,#NAME?,5-10,High,Low,Obviously better than others,High,Low,No,No,Yes,Yes,"$16,172",#NAME?,34184,1715889,#NAME?,0.019922035,#NAME?,Pre-Profit,,No,0,1,No,No,No,No,2,3,0,0,,16,2,51,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,,2.00,,51.00,#NAME?,,#NAME?,1.0,,,#NAME?,SAFE,37.8%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,No,,2.5,3.0,5.5,3.8,#NAME?,100%,1,46%,3,9%,No,72%,No,No,No,,Recurring,40%,B2B,24%,High,53%,Low,41%,,5.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Profit,51%,,3.0,#NAME?,#NAME?,#NAME?,No,77%,High,43%,Low,19%,,,#NAME?,#NAME?
,Iliass,1745527,The OmniPad Company,08/31/2019 1:53 PM,Razitall,https://www.razitall.com/pitch/revolving-tread-omnidirectional-treadmill-for-vr,https://www.sec.gov/Archives/edgar/data/1745527/000166828719000053/xslC_X01/primary_doc.xml,9/27/2019,"The OmniPad Company, LLC",Omnipad,,Consumer Goods & Services,Non-Tech,Early,Pre-Seed,RegCF,,CAFES,,,,"$2,500,000",0%,"$2,500,000",2500000,#NAME?,Transactional,B2B/B2C,High Growth,No,Low,High,No,,18800000000,#NAME?,4400000000,#NAME?,0.372,#NAME?,5-10,Low,Low,Similar to others,High,Low,No,Yes,No,No,$0,#NAME?,111,1000000,#NAME?,0.000111,#NAME?,Pre-Product,,No,0,1,No,No,No,No,2,5,1,0,,0,0,47,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,47.00,#NAME?,,#NAME?,1.0,,,#NAME?,CAFES,10.0%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,No,,1.0,1.0,2.0,1.0,#NAME?,100%,1,46%,5,13%,No,72%,No,No,No,,Transactional,60%,B2B/B2C,28%,Low,47%,High,59%,,1.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Product,22%,,#NAME?,#NAME?,#NAME?,#NAME?,Yes,23%,High,43%,Low,19%,,,#NAME?,#NAME?
,Iliass,1785164,Green Growth,09/03/2019 9:23 AM,Fundanna,https://fundanna.com/equity/offer-summary/GreenGrowth,https://www.sec.gov/Archives/edgar/data/1785164/000178516419000001/xslC_X01/primary_doc.xml,8/16/2019,"Green Growth Real Estate, LLC",Green Growth Real Estate,,Real Estate & Construction,Non-Tech,Early,Pre-Seed,RegCF,,Convertible Note,,,,"$3,000,000",0%,"$3,000,000",3000000,#NAME?,Recurring,B2B,Life Style,No,Low,High,No,,20225132500,#NAME?,20225132500,#NAME?,0.135,#NAME?,10-20,Low,Low,Similar to others,High,Low,No,No,No,No,$0,#NAME?,27,0,#NAME?,1,#NAME?,Pre-Product,,No,0,1,No,No,No,Yes,4,1,0,0,,0,0,49,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,49.00,#NAME?,,#NAME?,1.0,,,#NAME?,Convertible Note,13.3%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,No,,1.0,1.0,2.0,1.0,#NAME?,100%,1,46%,1,8%,No,72%,No,No,Yes,,Recurring,40%,B2B,24%,Low,47%,High,59%,,1.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Product,22%,,#NAME?,#NAME?,#NAME?,#NAME?,No,77%,High,43%,Low,19%,,,#NAME?,#NAME?
,Iliass,1728036,"earthdog, GP",09/04/2019 2:38 PM,Razitall,https://www.razitall.com/pitch/every-dog-s-neck-deserves-hemp-gear-from-earthdog,https://www.sec.gov/Archives/edgar/data/1728036/000166828718000027/xslC_X01/primary_doc.xml,4/26/2018,"earthdog, GP",Earthdog,,Consumer Goods & Services,Non-Tech,Growth,Series A,RegCF,,CAFES,,,,"$1,900,000",0%,"$1,900,000",1900000,#NAME?,Transactional,B2B/B2C,Life Style,No,High,Low,No,,12296000000,#NAME?,4303600000,#NAME?,0.07,#NAME?,> 50,Low,Low,Similar to others,Low,High,No,No,Yes,Yes,"$286,000",#NAME?,5250,0,#NAME?,1,#NAME?,Pre-Profit,,No,0,2,No,Yes,No,No,0,2,0,0,,23,0,42,No,,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,,0.00,,42.00,#NAME?,,#NAME?,1.0,,,#NAME?,CAFES,10.0%,Growth,,#NAME?,#NAME?,#NAME?,#NAME?,No,,3.2,1.0,4.2,2.7,#NAME?,100%,2,46%,2,16%,No,72%,Yes,No,No,,Transactional,60%,B2B/B2C,28%,High,53%,Low,41%,,5.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Profit,51%,,#NAME?,#NAME?,#NAME?,#NAME?,No,77%,Low,56%,High,80%,,,#NAME?,#NAME?
,Iliass,1727652,English for a Song,09/04/2019 2:47 PM,Razitall,https://www.razitall.com/pitch/transforming-adult-literacy-through-pop-music,https://www.sec.gov/cgi-bin/browse-edgar?company=english+for+a+song&owner=exclude&action=getcompany,5/2/2018,"English for a Song, Inc.",English For a Song,,"Education, Training, & Coaching",EdTech,Early,Pre-Seed,RegCF,,CAFES,,,,"$1,500,000",0%,"$1,500,000",1500000,#NAME?,Recurring,B2B/B2C,High Growth,Yes,High,Low,No,,4309637530,#NAME?,4309637530,#NAME?,0.152,#NAME?,> 50,Low,High,Similar to others,Low,High,Yes,No,No,No,$0,#NAME?,7,0,#NAME?,1,#NAME?,Pre-Product,,No,0,4,Yes,Yes,No,No,8,4,0,0,,20,0,62,No,,30,0,65,Yes,,12,0,63,No,,1,1,49,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.75,,1.00,,59.75,#NAME?,,#NAME?,1.0,,,#NAME?,CAFES,10.0%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,Yes,,2.5,2.0,4.5,3.0,#NAME?,100%,4,4%,4,12%,Yes,28%,Yes,No,No,,Recurring,40%,B2B/B2C,28%,High,53%,Low,41%,,1.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Product,22%,,3.0,#NAME?,#NAME?,#NAME?,No,77%,Low,56%,High,80%,,,#NAME?,#NAME?
,Iliass,1738707,Of The North Beverage International,09/04/2019 2:51 PM,Razitall,https://www.razitall.com/pitch/the-new-ice-age-borealis-rare-iceberg-beer,https://www.sec.gov/Archives/edgar/data/1738707/000166828718000034/xslC_X01/primary_doc.xml,04/30/2018,Of The North Beverage International Inc,Borealis Rare Iceberg Beer,,"Alcohol, Tobacco, & Recreational Drugs",Non-Tech,Early,Seed,RegCF,,CAFES,,,,"$8,750,000",0%,"$8,750,000",8750000,#NAME?,Transactional,B2B/B2C,Life Style,No,Low,High,No,,1.142E+11,#NAME?,27600000000,#NAME?,0.07,#NAME?,> 50,Low,Low,Similar to others,High,High,No,No,Yes,No,$0,#NAME?,0,0,#NAME?,1,#NAME?,Pre-Revenue,,Yes,7,1,No,No,No,No,0,2,0,0,,24,0,50,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,0.00,,50.00,#NAME?,,#NAME?,1.0,,,#NAME?,CAFES,10.0%,Early,,#NAME?,#NAME?,#NAME?,#NAME?,No,,3.3,1.0,4.3,2.8,#NAME?,100%,1,46%,2,16%,No,72%,No,No,No,,Transactional,60%,B2B/B2C,28%,Low,47%,High,59%,,3.0,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,Pre-Revenue,20%,,#NAME?,#NAME?,#NAME?,#NAME?,No,77%,High,43%,High,80%,,,#NAME?,#NAME?
